ID,RIO,COORD- X,COORD- Y,PUNTO,AÑOS,Nivel 10,Nivel 9,Nivel 8,Nivel 7,Nivel 6,Nivel 5,Nivel 4,Nivel 3,Nivel 2,Nivel 1,RIQUEZA ABSOLUTA,DIVERSIDAD SEGÚN SHANNON,CALIDAD DEL AGUA SEGÚN SHANNON,,ÍNDICE BMWP/Col,ÍNDICE BMWP/Col.1,Clasificar
97,RIO CHAPIZA,-2.806998637,-77.89395636,P2,01/10/2021,0,9,8,7,2,5,0,0,0,0,31,1.67,Contaminación moderada,,42,Aguas moderadamente contaminadas,3
98,RIO CHAPIZA,-2.765864358,-77.89432128,P3,01/10/2021,9,9,13,3,3,1,0,0,0,0,38,1.82,Contaminación moderada,,59,Aguas moderadamente contaminadas,3
99,RIO CHAPIZA,-2.714931297,-77.90954739,P4,01/10/2021,21,0,0,13,0,3,0,0,0,0,37,1.93,Contaminación moderada,,66,Aguas ligeramente contaminadas,2
100,RIO CHAPIZA,-2.693626541,-77.96585626,P5,01/10/2021,10,3,6,4,0,8,0,2,0,0,33,1.81,Contaminación moderada,,52,Aguas moderadamente contaminadas,3
101,RIO HUASAGA,-2.717752305,-77.0210032,P1,05/09/2021,6,9,3,8,5,0,9,0,2,0,42,1.84,Contaminación moderada,,46,Aguas moderadamente contaminadas,3
102,RIO HUASAGA,-2.671703638,-77.08952686,P2,05/09/2021,0,5,9,5,1,0,2,0,0,0,22,1.55,Contaminación moderada,,41,Aguas moderadamente contaminadas,3
103,RIO HUASAGA,-2.63919923,-77.15375553,P3,05/09/2021,1,9,15,11,0,0,0,0,0,0,36,1.95,Contaminación moderada,,65,Aguas ligeramente contaminadas,2
104,RIO HUASAGA,-2.575119785,-77.17003232,P4,05/09/2021,18,8,1,1,2,3,0,0,0,0,33,1.83,Contaminación moderada,,65,Aguas ligeramente contaminadas,2
105,RIO HUASAGA,-2.524143278,-77.18293496,P5,05/09/2021,0,6,3,9,8,2,3,0,0,0,31,1.66,Contaminación moderada,,39,Aguas moderadamente contaminadas,3
106,RIO CHAPIZA,-2.880025048,-77.89806561,P1,05/11/2021,9,9,0,5,3,0,1,0,3,0,30,1.79,Contaminación moderada,,48,Aguas moderadamente contaminadas,3
107,RIO CHAPIZA,-2.806998637,-77.89395636,P2,05/11/2021,12,7,12,12,0,0,0,0,0,0,43,1.71,Contaminación moderada,,51,Aguas moderadamente contaminadas,3
108,RIO CHAPIZA,-2.765864358,-77.89432128,P3,05/11/2021,20,0,17,1,3,0,0,0,0,0,41,1.8,Contaminación moderada,,59,Aguas moderadamente contaminadas,3
109,RIO CHAPIZA,-2.714931297,-77.90954739,P4,05/11/2021,15,13,0,4,3,2,0,0,0,0,37,1.84,Contaminación moderada,,56,Aguas moderadamente contaminadas,3
110,RIO CHAPIZA,-2.693626541,-77.96585626,P5,05/11/2021,18,11,0,13,0,0,0,0,0,0,42,1.87,Contaminación moderada,,62,Aguas ligeramente contaminadas,2
