ID,RIO,COORD- X,COORD- Y,PUNTO,FECHA,FECHA,Temperatura,Ph,Oxigeno disuelto,Solidos_Totales,Nitratos,Fosfatos,Turbiedad,DBO5,Coliformes fecales,CALIDAD AGUA NSF,Clasificacion ,Clasificar
118,RIO CHAPIZA,-2.765864358,-77.89432128,P3,2021//07/09,2021//07/09,20.2,6.41,8.36,63.2,4.9,0.56,2.94,15.8,700,51.39,Regular,2
119,RIO CHAPIZA,-2.714931297,-77.90954739,P4,2021//07/09,2021//07/09,21.3,6.95,8.2,61.23,5.2,0.63,2.71,14.6,800,51.48,Regular,2
120,RIO CHAPIZA,-2.693626541,-77.96585626,P5,2021//07/09,2021//07/09,21.9,6.46,7.63,97.9,6.2,0.42,1.95,13.7,600,51.39,Regular,2
121,RIO HUASAGA,-2.717752305,-77.0210032,P1,2022//08/01,2022//08/01,19.8,6.9,7.89,98.2,6.6,0.26,1.36,12.7,600,55.81,Regular,2
122,RIO HUASAGA,-2.671703638,-77.08952686,P2,2022//08/01,2022//08/01,19.9,6.6,7.36,52.3,5.8,0.87,1.74,15.8,600,49.1,Mala,3
123,RIO HUASAGA,-2.63919923,-77.15375553,P3,2022//08/01,2022//08/01,20.7,6.65,6.89,83.9,6.4,0.56,1.85,12.1,700,51.82,Regular,2
124,RIO HUASAGA,-2.575119785,-77.17003232,P4,2022//08/01,2022//08/01,21.5,7.3,7.8,94.3,5.2,0.69,1.61,13.5,600,52.48,Regular,2
125,RIO HUASAGA,-2.524143278,-77.18293496,P5,2022//08/01,2022//08/01,22.3,6.6,6.61,95.05,2.9,0.63,0.85,16.3,600,50.23,Regular,2
126,RIO CHAPIZA,-2.880025048,-77.89806561,P1,2022//10/01,2022//10/01,20.1,6.6,6.96,100.07,6.6,0.96,0.93,16.2,700,47.16,Mala,3
127,RIO CHAPIZA,-2.806998637,-77.89395636,P2,2022//10/01,2022//10/01,20.2,6.3,7.65,116.89,4.9,0.67,0.85,15.9,1500,48.02,Mala,3
128,RIO CHAPIZA,-2.765864358,-77.89432128,P3,2022//10/01,2022//10/01,20.3,6.4,7.56,98.94,2.3,0.57,0.79,14.7,600,53.47,Regular,2
129,RIO CHAPIZA,-2.714931297,-77.90954739,P4,2022//10/01,2022//10/01,21.4,6.3,7.61,96.31,2.1,0.23,0.89,12.9,600,57.23,Regular,2
130,RIO CHAPIZA,-2.693626541,-77.96585626,P5,2022//10/01,2022//10/01,22,6.9,7.25,94.9,2.5,0.36,1.36,15.2,700,54.03,Regular,2
131,RIO HUASAGA,-2.717752305,-77.0210032,P1,2022//09/05,2022//09/05,19.9,7.2,6.92,103.65,6.2,0.86,1.74,11.6,800,50.83,Regular,2
132,RIO HUASAGA,-2.671703638,-77.08952686,P2,2022//09/05,2022//09/05,20,7.5,6.36,168.56,4.9,0.69,1.85,12.4,1000,50.62,Regular,2
133,RIO HUASAGA,-2.63919923,-77.15375553,P3,2022//09/05,2022//09/05,20.8,7.1,6.82,128.23,3.9,0.63,1.61,15.8,700,51.96,Regular,2
134,RIO HUASAGA,-2.575119785,-77.17003232,P4,2022//09/05,2022//09/05,21.6,7.4,6.48,95.8,3.4,0.86,0.85,16.1,700,49.69,Mala,3
135,RIO HUASAGA,-2.524143278,-77.18293496,P5,2022//09/05,2022//09/05,22.4,7.1,7.94,63.19,5.8,0.87,0.93,14.5,600,50.69,Regular,2
136,RIO CHAPIZA,-2.880025048,-77.89806561,P1,2022//11/05,2022//11/05,20.2,7.05,7.69,64.23,4.9,0.28,0.85,12.5,600,57.57,Regular,2
137,RIO CHAPIZA,-2.806998637,-77.89395636,P2,2022//11/05,2022//11/05,20.3,7.4,6.28,63.59,5.2,0.67,0.79,13.5,600,51.65,Regular,2
138,RIO CHAPIZA,-2.765864358,-77.89432128,P3,2022//11/05,2022//11/05,20.4,6.96,7.8,89.5,6.2,0.57,0.89,12.6,800,53.07,Regular,2
139,RIO CHAPIZA,-2.714931297,-77.90954739,P4,2022//11/05,2022//11/05,21.5,6.85,6.89,93.56,6.6,0.23,0.56,11.4,600,55.2,Regular,2
140,RIO CHAPIZA,-2.693626541,-77.96585626,P5,2022//11/05,2022//11/05,22.1,6.96,6.8,83.9,5.8,0.36,1.96,11.2,800,53.24,Regular,2
141,RIO HUASAGA,-2.717752305,-77.0210032,P1,2022//04/09,2022//04/09,20,6.7,9.12,94.3,6.4,0.86,1.03,15.8,900,48.97,Mala,3
142,RIO HUASAGA,-2.671703638,-77.08952686,P2,2022//04/09,2022//04/09,20.1,6.1,9.33,96.01,5.2,0.69,0.59,14.6,600,50.56,Regular,2
143,RIO HUASAGA,-2.63919923,-77.15375553,P3,2022//04/09,2022//04/09,20.9,6.6,8.17,92.5,2.9,0.63,0.85,13.7,600,54.79,Regular,2
144,RIO HUASAGA,-2.575119785,-77.17003232,P4,2022//04/09,2022//04/09,21.7,7.1,8.63,98.99,6.6,0.86,0.81,12.7,600,51.26,Regular,2
145,RIO HUASAGA,-2.524143278,-77.18293496,P5,2022//04/09,2022//04/09,22.5,6.3,6.42,81.95,4.9,0.87,0.94,15.8,700,46.83,Mala,3
146,RIO CHAPIZA,-2.880025048,-77.89806561,P1,2022//07/09,2022//07/09,20.3,6.2,7.85,54.1,2.3,0.28,1.02,12.1,800,56.64,Regular,2
147,RIO CHAPIZA,-2.806998637,-77.89395636,P2,2022//07/09,2022//07/09,20.4,6,8.1,62.5,3.9,0.75,0.79,13.5,800,50.86,Regular,2
148,RIO CHAPIZA,-2.765864358,-77.89432128,P3,2022//07/09,2022//07/09,20.5,6.1,6.33,62.97,3.5,0.56,0.75,16.3,500,49.94,Mala,3
149,RIO CHAPIZA,-2.714931297,-77.90954739,P4,2022//07/09,2022//07/09,21.6,6,7.1,49.8,6.1,0.28,2.56,16.2,600,49.72,Mala,3
150,RIO CHAPIZA,-2.693626541,-77.96585626,P5,2022//07/09,2022//07/09,22.2,6.6,6.66,76.8,5.8,0.26,2.08,15.9,600,51.68,Regular,2
151,RIO HUASAGA,-2.717752305,-77.0210032,P1,2023//08/01,2023//08/01,19.6,7.2,6.05,84.5,5.7,0.59,2.94,14.7,600,49.78,Mala,3
152,RIO HUASAGA,-2.671703638,-77.08952686,P2,2023//08/01,2023//08/01,19.8,7.5,6.08,94.9,5.6,0.18,2.71,12.9,700,55.17,Regular,2
